,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[249256   6124]
 [ 77463  60176]]","(array([0.        , 0.02397995, 1.        ]), array([0.        , 0.43720167, 1.        ]), array([2, 1, 0]))",0.4372016652256991,0.5263848368513044,0.7873207147746037,0.90763197586727,0.7066108568903968,7.34569473551167,0.5901372469218736,0.7468988851625586,bayes,0-1-0,0-0-0
1,"[[181079   4440]
 [ 56116  43789]]","(array([0.        , 0.02393286, 1.        ]), array([0.        , 0.43830639, 1.        ]), array([2, 1, 0]))",0.4383063910715179,0.5274398308573658,0.7878384438589607,0.9079392067013623,0.7071867662212413,7.327812985533106,0.5912079603602144,0.7477093514467883,bayes,0-1-0,0-0-1
2,"[[285508   6972]
 [ 88391  68800]]","(array([0.        , 0.02383753, 1.        ]), array([0.        , 0.43768409, 1.        ]), array([2, 1, 0]))",0.43768409132838393,0.5271931419717084,0.7879271734223465,0.9079871192524943,0.7069232819880432,7.32474833409571,0.5906517343955907,0.7473727891126902,bayes,0-1-0,0-0-2
3,"[[77439  1975]
 [24098 18840]]","(array([0.        , 0.02486967, 1.        ]), array([0.        , 0.43877218, 1.        ]), array([2, 1, 0]))",0.4387721831477945,0.5257352938172817,0.7869017261671244,0.9051165025222195,0.7069512564062945,7.36016653711775,0.5910310103053973,0.7464460609518375,bayes,0-1-0,0-0-3
4,"[[260557   6403]
 [ 80569  62931]]","(array([0.        , 0.02398487, 1.        ]), array([0.        , 0.43854355, 1.        ]), array([2, 1, 0]))",0.43854355400696865,0.527599686609066,0.7881108999658919,0.907649926443015,0.70727934368014,7.318402719973978,0.591362282342107,0.7476903116653519,bayes,0-1-0,0-1-0
5,"[[125277   3127]
 [ 38592  30245]]","(array([0.        , 0.02435282, 1.        ]), array([0.        , 0.43937127, 1.        ]), array([2, 1, 0]))",0.4393712683585862,0.5276283505762874,0.7884871806571656,0.906298693515522,0.7075092222295096,7.305406648518527,0.5918265514778541,0.7474360558507351,bayes,0-1-0,0-1-1
6,"[[308239   7525]
 [ 95437  74315]]","(array([0.        , 0.02383109, 1.        ]), array([0.        , 0.43778571, 1.        ]), array([2, 1, 0]))",0.43778571091945895,0.5272811162645842,0.7879328384646438,0.9080522971652004,0.7069773109391381,7.324552665913081,0.5907580527202773,0.7474673715380035,bayes,0-1-0,0-1-2
7,"[[307325   7501]
 [ 95221  74087]]","(array([0.        , 0.02382586, 1.        ]), array([0.        , 0.43758712, 1.        ]), array([2, 1, 0]))",0.4375871193328136,0.5271120686388653,0.7878232059719004,0.9080624601657107,0.7068806299846143,7.328339233803738,0.5905793635609975,0.7473570592745028,bayes,0-1-0,0-1-3
8,"[[48128  1139]
 [15177 11809]]","(array([0.        , 0.02311892, 1.        ]), array([0.        , 0.43759727, 1.        ]), array([2, 1, 0]))",0.43759727265989773,0.5278722288604736,0.7860280906980709,0.9120327463700958,0.7072391746213,7.390339873851988,0.5914258526568839,0.7495112848764884,bayes,0-1-0,0-2-0
9,"[[124257   3002]
 [ 38440  30269]]","(array([0.        , 0.02358969, 1.        ]), array([0.        , 0.44053909, 1.        ]), array([2, 1, 0]))",0.44053908512713036,0.5299217176468132,0.7885266982364467,0.909771272279162,0.7084746989768641,7.30404133199999,0.5936262012159247,0.7500012388933213,bayes,0-1-0,0-2-1
