,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[249505   5875]
 [ 11592 126047]]","(array([0.        , 0.02300493, 1.        ]), array([0.        , 0.91577968, 1.        ]), array([2, 1, 0]))",0.9157796845370861,0.9018753987714946,0.9555568560298612,0.9554661087612377,0.9463873753564904,1.5350237645630558,0.9352020507417615,0.947256010954012,cnn,0-1-0,0-0-0
1,"[[181250   4269]
 [  8377  91528]]","(array([0.        , 0.02301112, 1.        ]), array([0.        , 0.91615034, 1.        ]), array([2, 1, 0]))",0.9161503428256844,0.9021545210334349,0.9556939850888503,0.9554370178606846,0.9465696113354376,1.5302875013014678,0.9353813451063351,0.94731242224582,cnn,0-1-0,0-0-1
2,"[[285744   6736]
 [ 13172 144019]]","(array([0.        , 0.02303063, 1.        ]), array([0.        , 0.91620385, 1.        ]), array([2, 1, 0]))",0.9162038539102112,0.9021674934717968,0.9557276319798252,0.9553182315677755,0.9465866096684536,1.5291253973642325,0.9353523020269788,0.9472304399699558,cnn,0-1-0,0-0-2
3,"[[77534  1880]
 [ 3587 39351]]","(array([0.        , 0.02367341, 1.        ]), array([0.        , 0.91646094, 1.        ]), array([2, 1, 0]))",0.9164609436862453,0.9014444687032344,0.955317444749575,0.9544032402803716,0.9463937679873794,1.5432930707642343,0.9350473452221126,0.9465655098093929,cnn,0-1-0,0-0-3
4,"[[260808   6152]
 [ 11972 131528]]","(array([0.        , 0.02304465, 1.        ]), array([0.        , 0.91657143, 1.        ]), array([2, 1, 0]))",0.9165714285714286,0.9024329174080735,0.9558446620864396,0.9553166763509587,0.9467633888437006,1.5250833272541833,0.935543068497048,0.9473077698712223,cnn,0-1-0,0-1-0
5,"[[125333   3071]
 [  5737  63100]]","(array([0.       , 0.0239167, 1.       ]), array([0.        , 0.91665819, 1.        ]), array([2, 1, 0]))",0.9166581925418017,0.9012400133519911,0.9553439700670753,0.9535899412129181,0.9463707460637422,1.5423770820979492,0.9347594216639014,0.9459674203423474,cnn,0-1-0,0-1-1
6,"[[308484   7280]
 [ 14222 155530]]","(array([0.        , 0.02305519, 1.        ]), array([0.        , 0.91621895, 1.        ]), array([2, 1, 0]))",0.916218954710401,0.9021438507307462,0.9557130969937139,0.9552853018856335,0.9465818807957448,1.5296274296061545,0.9353443869113128,0.9472077681633927,cnn,0-1-0,0-1-2
7,"[[307548   7278]
 [ 14221 155087]]","(array([0.        , 0.02311753, 1.        ]), array([0.        , 0.91600515, 1.        ]), array([2, 1, 0]))",0.9160051503768281,0.9018878318952255,0.9555928730475447,0.9551750685184615,0.9464438093939753,1.5337798485218601,0.9351801322386809,0.9470753620073085,cnn,0-1-0,0-1-3
8,"[[48193  1074]
 [ 2276 24710]]","(array([0.        , 0.02179958, 1.        ]), array([0.        , 0.91565997, 1.        ]), array([2, 1, 0]))",0.9156599718372489,0.9035028220914216,0.9560673022700746,0.9583462612472852,0.9469301949835157,1.5173928854024217,0.9365169603941633,0.9494935522048541,cnn,0-1-0,0-2-0
9,"[[124368   2891]
 [  5747  62962]]","(array([0.        , 0.02271745, 1.        ]), array([0.        , 0.91635739, 1.        ]), array([2, 1, 0]))",0.9163573913170036,0.9027389331016226,0.955921374918354,0.9560991906215358,0.9468199705388638,1.5224335714780437,0.9358065427089372,0.9478774302136873,cnn,0-1-0,0-2-1
