,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[105538  80459]
 [ 10449  53554]]","(array([0.        , 0.43258225, 1.        ]), array([0.        , 0.83674203, 1.        ]), array([2, 1, 0]))",0.8367420277174508,0.35369433761768426,0.636368,0.39961794751255475,0.7020798908836235,12.559661677272704,0.5409057853910795,0.44624242777745377,deeplearn,s-1-2-0,s-0-1-0
1,"[[21801 16670]
 [ 1939  9590]]","(array([0.       , 0.4333134, 1.       ]), array([0.        , 0.83181542, 1.        ]), array([2, 1, 0]))",0.8318154219793564,0.3361285198364884,0.62782,0.3651942117288652,0.6992510085384812,12.854908384441083,0.5075551086294953,0.41134435398776686,deeplearn,s-1-2-0,s-0-1-1
2,"[[105954  80264]
 [ 10270  53512]]","(array([0.        , 0.43102171, 1.        ]), array([0.        , 0.83898279, 1.        ]), array([2, 1, 0]))",0.838982785111787,0.35656738467983706,0.637864,0.4000119602918311,0.7039805396845277,12.507991044099924,0.5417345792121807,0.4467628229746563,deeplearn,s-1-2-0,s-0-1-2
3,"[[184536 140619]
 [ 28355 146490]]","(array([0.        , 0.43246759, 1.        ]), array([0.        , 0.83782779, 1.        ]), array([2, 1, 0]))",0.8378277903285768,0.39094069090609934,0.662052,0.510224339884852,0.7026800989747788,11.672535282289354,0.6342189915013182,0.5535105544476191,deeplearn,s-1-2-0,s-0-1-3
4,"[[105593  80301]
 [ 10484  53622]]","(array([0.        , 0.43197198, 1.        ]), array([0.        , 0.83645837, 1.        ]), array([2, 1, 0]))",0.8364583658315914,0.3541483787252033,0.63686,0.4003942564010663,0.7022431908988398,12.542668093940833,0.5415570446752748,0.44700049016502225,deeplearn,s-1-2-0,s-0-2-0
5,"[[21890 16665]
 [ 1852  9593]]","(array([0.        , 0.43223966, 1.        ]), array([0.        , 0.83818261, 1.        ]), array([2, 1, 0]))",0.8381826124945391,0.3415260132941973,0.62966,0.36533627846751465,0.7029714774312923,12.791356955914708,0.5088719730525422,0.4117980373807704,deeplearn,s-1-2-0,s-0-2-1
6,"[[105702  80207]
 [ 10391  53700]]","(array([0.        , 0.43143151, 1.        ]), array([0.        , 0.83787115, 1.        ]), array([2, 1, 0]))",0.8378711519558129,0.35582801475780346,0.637608,0.40102459169423554,0.70321982257167,12.51683278854881,0.5424297215123385,0.44770967736556616,deeplearn,s-1-2-0,s-0-2-2
7,"[[184536 140619]
 [ 28355 146490]]","(array([0.        , 0.43246759, 1.        ]), array([0.        , 0.83782779, 1.        ]), array([2, 1, 0]))",0.8378277903285768,0.39094069090609934,0.662052,0.510224339884852,0.7026800989747788,11.67253528228935,0.6342189915013182,0.5535105544476191,deeplearn,s-1-2-0,s-0-2-3
8,"[[78248 59608]
 [18319 93825]]","(array([0.        , 0.43239322, 1.        ]), array([0.        , 0.83664752, 1.        ]), array([2, 1, 0]))",0.8366475246112142,0.41293505310129386,0.688292,0.611504695860734,0.7021271513492469,10.766203562119296,0.7065747410355565,0.646288071240818,deeplearn,s-1-2-0,s-0-3-0
9,"[[14474 10917]
 [ 4009 20600]]","(array([0.       , 0.4299555, 1.       ]), array([0.        , 0.83709212, 1.        ]), array([2, 1, 0]))",0.8370921207688244,0.42166581164052125,0.70148,0.6536155090903322,0.70356831236346,10.310690113511647,0.7340626447635676,0.6835814357864837,deeplearn,s-1-2-0,s-0-3-1
