,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[    13 185984]
 [    63  63940]]","(array([0.        , 0.99993011, 1.        ]), array([0.        , 0.99901567, 1.        ]), array([2, 1, 0]))",0.9990156711404153,-0.022892610595362725,0.255812,0.25583777468350377,0.4995427823704249,25.703937777089617,0.4073558502454392,0.3005549502255807,gbm,s-1-2-0,s-0-1-0
1,"[[   10 38461]
 [    6 11523]]","(array([0.        , 0.99974006, 1.        ]), array([0.        , 0.99947957, 1.        ]), array([2, 1, 0]))",0.9994795732500651,-0.006134501473771328,0.23066,0.23053377080665813,0.4998697546528977,26.572677297995842,0.3746525124770374,0.2724564348710188,gbm,s-1-2-0,s-0-1-1
2,"[[    10 186208]
 [    53  63729]]","(array([0.       , 0.9999463, 1.       ]), array([0.        , 0.99916904, 1.        ]), array([2, 1, 0]))",0.9991690445580258,-0.021347048447530423,0.254956,0.25498025502426613,0.49961137252979426,25.733503686122962,0.406280779933635,0.29961073030379964,gbm,s-1-2-0,s-0-1-2
3,"[[    41 325114]
 [   230 174615]]","(array([0.        , 0.99987391, 1.        ]), array([0.        , 0.99868455, 1.        ]), array([2, 1, 0]))",0.9986845491721239,-0.02436868990118324,0.349312,0.3494193853068363,0.499405321440639,22.474487255489496,0.5177045068443195,0.40164259088280635,gbm,s-1-2-0,s-0-1-3
4,"[[    14 185880]
 [    63  64043]]","(array([0.        , 0.99992469, 1.        ]), array([0.        , 0.99901725, 1.        ]), array([2, 1, 0]))",0.9990172526752567,-0.022581321710243293,0.256228,0.2562509252849878,0.4995462822060264,25.689569313476806,0.4078795270500496,0.3010110942114951,gbm,s-1-2-0,s-0-2-0
5,"[[    2 38553]
 [    9 11436]]","(array([0.        , 0.99994813, 1.        ]), array([0.        , 0.99921363, 1.        ]), array([2, 1, 0]))",0.999213630406291,-0.02080673383747968,0.22876,0.22877032947248394,0.4996327521763007,26.63830244440544,0.37230198261548975,0.27048121815885445,gbm,s-1-2-0,s-0-2-1
6,"[[    17 185892]
 [    34  64057]]","(array([0.        , 0.99990856, 1.        ]), array([0.       , 0.9994695, 1.       ]), array([2, 1, 0]))",0.9994695042985755,-0.013423167303594725,0.256296,0.2562802811773602,0.499780473443039,25.68722071506263,0.407954400713285,0.3010517094390664,gbm,s-1-2-0,s-0-2-2
7,"[[    41 325114]
 [   230 174615]]","(array([0.        , 0.99987391, 1.        ]), array([0.        , 0.99868455, 1.        ]), array([2, 1, 0]))",0.9986845491721239,-0.02436868990118324,0.349312,0.3494193853068363,0.499405321440639,22.474487255489493,0.5177045068443195,0.40164259088280635,gbm,s-1-2-0,s-0-2-3
8,"[[    22 137834]
 [   240 111904]]","(array([0.        , 0.99984041, 1.        ]), array([0.        , 0.99785989, 1.        ]), array([2, 1, 0]))",0.9978598944214582,-0.030442958712209214,0.447704,0.4480855937021999,0.4990097406183428,19.076068894652362,0.6184557397162612,0.5035748486179412,gbm,s-1-2-0,s-0-3-0
9,"[[    5 25386]
 [   97 24512]]","(array([0.        , 0.99980308, 1.        ]), array([0.        , 0.99605835, 1.        ]), array([2, 1, 0]))",0.9960583526352148,-0.041492099954552206,0.49034,0.49124213395326466,0.49812763640188923,17.603438749037437,0.6579784449783241,0.5466523342893208,gbm,s-1-2-0,s-0-3-1
