,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[98604 87393]
 [22223 41780]]","(array([0.        , 0.46986242, 1.        ]), array([0.       , 0.6527819, 1.       ]), array([2, 1, 0]))",0.6527819008483977,0.1597516059967596,0.561536,0.3234422054144442,0.5914597418563187,15.144289570090985,0.432558910009525,0.35974134442349254,glm,s-1-2-0,s-0-1-0
1,"[[20478 17993]
 [ 4072  7457]]","(array([0.        , 0.46770295, 1.        ]), array([0.        , 0.64680371, 1.        ]), array([2, 1, 0]))",0.6468037123774829,0.15090038997954525,0.5587,0.2930058939096267,0.5895503836509857,15.242249766205314,0.40330998674923607,0.32899787344810244,glm,s-1-2-0,s-0-1-1
2,"[[99006 87212]
 [22219 41563]]","(array([0.        , 0.46833281, 1.        ]), array([0.        , 0.65164153, 1.        ]), array([2, 1, 0]))",0.6516415289580132,0.15989361897194346,0.562276,0.3227567462628616,0.5916543573647641,15.118730296650213,0.43169554988912373,0.35899371547223785,glm,s-1-2-0,s-0-1-2
3,"[[172369 152786]
 [ 60821 114024]]","(array([0.        , 0.46988667, 1.        ]), array([0.        , 0.65214333, 1.        ]), array([2, 1, 0]))",0.6521433269467243,0.17422048390955666,0.572786,0.42736029384205987,0.5911283287560735,14.755693153361314,0.5163487337401365,0.4590024032171711,glm,s-1-2-0,s-0-1-3
4,"[[98550 87344]
 [22274 41832]]","(array([0.        , 0.46985917, 1.        ]), array([0.        , 0.65254422, 1.        ]), array([2, 1, 0]))",0.6525442236296135,0.15963110835457878,0.561528,0.3238372453087261,0.5913425282887113,15.144565723581046,0.43285975931540444,0.3601177665673801,glm,s-1-2-0,s-0-2-0
5,"[[20515 18040]
 [ 3930  7515]]","(array([0.      , 0.467903, 1.      ]), array([0.        , 0.65661861, 1.        ]), array([2, 1, 0]))",0.6566186107470511,0.1586072830012018,0.5606,0.2940716102523968,0.5943578075133258,15.176626842676566,0.40621621621621623,0.33057669467294243,glm,s-1-2-0,s-0-2-1
6,"[[98657 87252]
 [22461 41630]]","(array([0.        , 0.46932639, 1.        ]), array([0.        , 0.64954518, 1.        ]), array([2, 1, 0]))",0.6495451779501022,0.1574520483688266,0.561148,0.32300864356543196,0.5901093935407258,15.15769016435926,0.43145932332502474,0.3591152118891893,glm,s-1-2-0,s-0-2-2
7,"[[172369 152786]
 [ 60821 114024]]","(array([0.        , 0.46988667, 1.        ]), array([0.        , 0.65214333, 1.        ]), array([2, 1, 0]))",0.6521433269467243,0.17422048390955666,0.572786,0.42736029384205987,0.5911283287560735,14.755693153361314,0.5163487337401365,0.4590024032171711,glm,s-1-2-0,s-0-2-3
8,"[[73171 64685]
 [38983 73161]]","(array([0.        , 0.46922151, 1.        ]), array([0.        , 0.65238443, 1.        ]), array([2, 1, 0]))",0.6523844342987587,0.18316140526392538,0.585328,0.5307444539558638,0.5915814638996115,14.32247037306949,0.5853114124564982,0.5513030346873078,glm,s-1-2-0,s-0-3-0
9,"[[13573 11818]
 [ 8439 16170]]","(array([0.        , 0.46544051, 1.        ]), array([0.        , 0.65707668, 1.        ]), array([2, 1, 0]))",0.6570766792636841,0.19299616581692403,0.59486,0.5777476061169072,0.5958180844233035,13.993228861482715,0.6148639656254159,0.5920431162630619,glm,s-1-2-0,s-0-3-1
10,"[[73272 64755]
 [38818 73155]]","(array([0.        , 0.46914734, 1.        ]), array([0.        , 0.65332714, 1.        ]), array([2, 1, 0]))",0.653327141364436,0.1841617215480799,0.585708,0.5304546443332608,0.592089900313377,14.30934586192671,0.5855140205616228,0.5511872130292806,glm,s-1-2-0,s-0-3-2
11,"[[172369 152786]
 [ 60821 114024]]","(array([0.        , 0.46988667, 1.        ]), array([0.        , 0.65214333, 1.        ]), array([2, 1, 0]))",0.6521433269467243,0.17422048390955666,0.572786,0.42736029384205987,0.5911283287560735,14.755693153361314,0.5163487337401365,0.4590024032171711,glm,s-1-2-0,s-0-3-3
12,"[[72876 64941]
 [39173 73010]]","(array([0.        , 0.47121182, 1.        ]), array([0.        , 0.65081162, 1.        ]), array([2, 1, 0]))",0.6508116202989758,0.17961985469156316,0.583544,0.5292458916571826,0.5897998979615866,14.384088368945783,0.5837671008339529,0.5497848602457578,glm,s-1-2-0,s-0-4-0
13,"[[13417 11927]
 [ 8452 16204]]","(array([0.        , 0.47060448, 1.        ]), array([0.        , 0.65720311, 1.        ]), array([2, 1, 0]))",0.6572031148604802,0.18806167493110512,0.59242,0.5760193380967615,0.593299316268624,14.077505219008696,0.6139390380207248,0.5906108762210235,glm,s-1-2-0,s-0-4-1
14,"[[73208 64605]
 [38930 73257]]","(array([0.        , 0.46878741, 1.        ]), array([0.       , 0.6529901, 1.       ]), array([2, 1, 0]))",0.6529900968917968,0.18421017696893033,0.58586,0.5313792052922488,0.5921013410307778,14.304095488156223,0.5859411555335154,0.5519374354878812,glm,s-1-2-0,s-0-4-2
15,"[[172369 152786]
 [ 60821 114024]]","(array([0.        , 0.46988667, 1.        ]), array([0.        , 0.65214333, 1.        ]), array([2, 1, 0]))",0.6521433269467243,0.17422048390955666,0.572786,0.42736029384205987,0.5911283287560735,14.755693153361312,0.5163487337401365,0.4590024032171711,glm,s-1-2-0,s-0-4-3
16,"[[  3294   5519]
 [  3039 238148]]","(array([0.        , 0.62623397, 1.        ]), array([0.        , 0.98739982, 1.        ]), array([2, 1, 0]))",0.9873998183981724,0.4238794914314654,0.965768,0.9773502361829874,0.6805829229288036,1.1823490454634522,0.9823493257764193,0.9793437539838221,glm,s-1-2-0,s-1-1-0
17,"[[  440   896]
 [  545 48119]]","(array([0.        , 0.67065868, 1.        ]), array([0.        , 0.98880076, 1.        ]), array([2, 1, 0]))",0.9888007562058195,0.3691863364300681,0.97118,0.9817198816688769,0.6590710367855446,0.995421864487276,0.9852475967198682,0.9831279318742747,glm,s-1-2-0,s-1-1-1
18,"[[  3033   5916]
 [  2555 238496]]","(array([0.        , 0.66107945, 1.        ]), array([0.        , 0.98940058, 1.        ]), array([2, 1, 0]))",0.9894005832790571,0.41262078364170934,0.966116,0.9757949691504508,0.6641605665305779,1.1703308210387426,0.9825506784245144,0.9784860740839205,glm,s-1-2-0,s-1-1-2
19,"[[ 17651  52858]
 [  4027 425464]]","(array([0.        , 0.74966316, 1.        ]), array([0.        , 0.99062378, 1.        ]), array([2, 1, 0]))",0.9906237848988687,0.4117898158491225,0.88623,0.8894928520954504,0.6204803106655487,3.9295611206909205,0.9373384166122318,0.908032725237848,glm,s-1-2-0,s-1-1-3
20,"[[  3259   5654]
 [  2996 238091]]","(array([0.        , 0.63435431, 1.        ]), array([0.        , 0.98757295, 1.        ]), array([2, 1, 0]))",0.9875729508434714,0.41933483830130747,0.9654,0.9768036267410614,0.6766093184599944,1.1950597469593915,0.9821587683981254,0.9789386604520968,glm,s-1-2-0,s-1-2-0
21,"[[  519   866]
 [  888 47727]]","(array([0.        , 0.62527076, 1.        ]), array([0.        , 0.98173403, 1.        ]), array([2, 1, 0]))",0.9817340327059549,0.3537454962861316,0.96492,0.9821785030765748,0.6782316372916056,1.2116341249609588,0.9819562175952598,0.9820895768086361,glm,s-1-2-0,s-1-2-1
22,"[[  2990   5831]
 [  2673 238506]]","(array([0.        , 0.66103616, 1.        ]), array([0.        , 0.98891695, 1.        ]), array([2, 1, 0]))",0.9889169455052057,0.4065619386599813,0.965984,0.9761354195230358,0.6639403909024725,1.1748896676597445,0.9824846143072526,0.9786652244882551,glm,s-1-2-0,s-1-2-2
23,"[[ 17483  53028]
 [  4101 425388]]","(array([0.        , 0.75205287, 1.        ]), array([0.        , 0.99045144, 1.        ]), array([2, 1, 0]))",0.990451443459553,0.40826231681795855,0.885742,0.8891592254439651,0.6191992861381668,3.946416315434762,0.9370760156624316,0.9077256158688742,glm,s-1-2-0,s-1-2-3
24,"[[  8333  59667]
 [   860 181140]]","(array([0.        , 0.87745588, 1.        ]), array([0.        , 0.99527473, 1.        ]), array([2, 1, 0]))",0.9952747252747253,0.2785747310860223,0.757892,0.7522206580373494,0.5589094214608921,8.362304913738505,0.8568448488317364,0.7908468881305731,glm,s-1-2-0,s-1-3-0
25,"[[ 3584 19456]
 [  181 26779]]","(array([0.        , 0.84444444, 1.        ]), array([0.        , 0.99328635, 1.        ]), array([2, 1, 0]))",0.993286350148368,0.2811632028782738,0.60726,0.5791932518654699,0.5744209528519617,13.56507018068926,0.7317166473119748,0.6318782444549316,glm,s-1-2-0,s-1-3-1
