,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[104492  81505]
 [  8495  55508]]","(array([0.        , 0.43820599, 1.        ]), array([0.        , 0.86727185, 1.        ]), array([2, 1, 0]))",0.8672718466321891,0.37625472502277396,0.64,0.40512944027209097,0.7145329270312083,12.43422018692204,0.5522744458152584,0.45345598026321166,rf,s-1-2-0,s-0-1-0
1,"[[21563 16908]
 [  760 10769]]","(array([0.        , 0.43949988, 1.        ]), array([0.        , 0.93407928, 1.        ]), array([2, 1, 0]))",0.9340792783415734,0.4190470522580389,0.64664,0.389095638978213,0.7472896976563993,12.204892418772632,0.5493546906085803,0.4404967399396255,rf,s-1-2-0,s-0-1-1
2,"[[104869  81349]
 [  8406  55376]]","(array([0.        , 0.43684821, 1.        ]), array([0.        , 0.86820733, 1.        ]), array([2, 1, 0]))",0.8682073312219748,0.37775296318969076,0.64098,0.4050173706344853,0.7156795605298458,12.40037168710623,0.5523597679881501,0.45339472917164747,rf,s-1-2-0,s-0-1-2
3,"[[182717 142438]
 [ 23405 151440]]","(array([0.        , 0.43806185, 1.        ]), array([0.        , 0.86613858, 1.        ]), array([2, 1, 0]))",0.8661385798850411,0.4147130849365942,0.668314,0.5153158793785176,0.7140383662292146,11.456256373439865,0.6461812200382742,0.5607406041513466,rf,s-1-2-0,s-0-1-3
4,"[[104415  81479]
 [  8592  55514]]","(array([0.        , 0.43830893, 1.        ]), array([0.        , 0.86597198, 1.        ]), array([2, 1, 0]))",0.8659719839016629,0.3752164748206245,0.639716,0.4052323841364157,0.7138315275786623,12.444029116260058,0.5521061765598038,0.45348795414963455,rf,s-1-2-0,s-0-2-0
5,"[[21685 16870]
 [ 1482  9963]]","(array([0.        , 0.43755674, 1.        ]), array([0.        , 0.87051114, 1.        ]), array([2, 1, 0]))",0.8705111402359109,0.3647714993608872,0.63296,0.3712965378451906,0.7164772015535669,12.677382272160964,0.5205601128585611,0.4193993786675872,rf,s-1-2-0,s-0-2-1
6,"[[104591  81318]
 [  8675  55416]]","(array([0.        , 0.43740755, 1.        ]), array([0.        , 0.86464558, 1.        ]), array([2, 1, 0]))",0.8646455820630041,0.37474047009010075,0.640028,0.4052832506911229,0.7136190166042284,12.433252503084104,0.5518834806423503,0.45346604978176086,rf,s-1-2-0,s-0-2-2
7,"[[182717 142438]
 [ 23405 151440]]","(array([0.        , 0.43806185, 1.        ]), array([0.        , 0.86613858, 1.        ]), array([2, 1, 0]))",0.8661385798850411,0.4147130849365942,0.668314,0.5153158793785176,0.7140383662292146,11.456256373439874,0.6461812200382742,0.5607406041513466,rf,s-1-2-0,s-0-2-3
8,"[[77591 60265]
 [15046 97098]]","(array([0.        , 0.43715906, 1.        ]), array([0.        , 0.86583321, 1.        ]), array([2, 1, 0]))",0.865833214438579,0.4414531283018201,0.698756,0.6170319579570801,0.714337074953737,10.404791907264997,0.7205601338740738,0.6546556346042859,rf,s-1-2-0,s-0-3-0
9,"[[14363 11028]
 [ 3283 21326]]","(array([0.        , 0.43432712, 1.        ]), array([0.        , 0.86659352, 1.        ]), array([2, 1, 0]))",0.866593522694949,0.4522215309937347,0.71378,0.6591457006861594,0.7161331994554655,9.885864938960541,0.7487667433246142,0.6922902126278202,rf,s-1-2-0,s-0-3-1
