,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[ 12877 173120]
 [    12  63991]]","(array([0.       , 0.9307677, 1.       ]), array([0.        , 0.99981251, 1.        ]), array([2, 1, 0]))",0.9998125087886506,0.13626951181419444,0.307472,0.269877820936186,0.5345224041171703,23.919623444443165,0.4250283945615282,0.31602148063059105,svm,s-1-2-0,s-0-1-0
1,"[[ 2683 35788]
 [    2 11527]]","(array([0.        , 0.93025916, 1.        ]), array([0.        , 0.99982652, 1.        ]), array([2, 1, 0]))",0.9998265244166884,0.12998599524537371,0.2842,0.2436225298531121,0.5347836840845627,24.723428463333704,0.39178165998232617,0.2870426168764225,svm,s-1-2-0,s-0-1-1
2,"[[ 12966 173252]
 [    14  63768]]","(array([0.        , 0.93037193, 1.        ]), array([0.       , 0.9997805, 1.       ]), array([2, 1, 0]))",0.9997805023360823,0.1363776385075284,0.306936,0.26904058729221164,0.5347042863311295,23.938136650778286,0.4239865426426686,0.3151022570271441,svm,s-1-2-0,s-0-1-2
3,"[[ 22065 303090]
 [    33 174812]]","(array([0.        , 0.93214006, 1.        ]), array([0.        , 0.99981126, 1.        ]), array([2, 1, 0]))",0.999811261402957,0.15701090942403487,0.393754,0.3657904758716222,0.5338356025610531,20.939479734279256,0.5356194666540023,0.4189214902037094,svm,s-1-2-0,s-0-1-3
4,"[[ 13056 172838]
 [    14  64092]]","(array([0.        , 0.92976643, 1.        ]), array([0.        , 0.99978161, 1.        ]), array([2, 1, 0]))",0.9997816117056125,0.13734929979538896,0.308592,0.270510277297092,0.5350075928389382,23.88093911293496,0.42580953772970676,0.31671453392184035,svm,s-1-2-0,s-0-2-0
5,"[[ 2704 35851]
 [    2 11443]]","(array([0.        , 0.92986642, 1.        ]), array([0.        , 0.99982525, 1.        ]), array([2, 1, 0]))",0.999825251201398,0.12990439638030205,0.28294,0.24195458197657208,0.5349794133065737,24.766948329084048,0.38962188665111763,0.2851894866439705,svm,s-1-2-0,s-0-2-1
6,"[[ 12909 173000]
 [    14  64077]]","(array([0.       , 0.9305628, 1.       ]), array([0.        , 0.99978156, 1.        ]), array([2, 1, 0]))",0.9997815605935311,0.13650424347126383,0.307944,0.27027927635325233,0.5346093791811659,23.903320758178,0.4255232959676991,0.31646119761082336,svm,s-1-2-0,s-0-2-2
7,"[[ 22065 303090]
 [    33 174812]]","(array([0.        , 0.93214006, 1.        ]), array([0.        , 0.99981126, 1.        ]), array([2, 1, 0]))",0.999811261402957,0.15701090942403487,0.393754,0.3657904758716222,0.5338356025610531,20.939479734279256,0.5356194666540023,0.4189214902037094,svm,s-1-2-0,s-0-2-3
8,"[[  9085 128771]
 [    19 112125]]","(array([0.       , 0.9340979, 1.       ]), array([0.        , 0.99983057, 1.        ]), array([2, 1, 0]))",0.9998305749750321,0.1745224294391401,0.48484,0.4654498206695005,0.5328663378589181,17.79340790744492,0.6351971447994562,0.5211586943911473,svm,s-1-2-0,s-0-3-0
9,"[[ 1687 23704]
 [    6 24603]]","(array([0.        , 0.93355914, 1.        ]), array([0.        , 0.99975619, 1.        ]), array([2, 1, 0]))",0.9997561867609411,0.18297511123106114,0.5258,0.5093050696586416,0.5330985258171607,16.378666839616347,0.6748313127434308,0.5647112290382259,svm,s-1-2-0,s-0-3-1
10,"[[  9166 128861]
 [    23 111950]]","(array([0.       , 0.9335927, 1.       ]), array([0.        , 0.99979459, 1.        ]), array([2, 1, 0]))",0.9997945933394657,0.17495920087452366,0.484464,0.46488740132302925,0.5331009452312462,17.806394775224483,0.6346659712458615,0.5205925873567847,svm,s-1-2-0,s-0-3-2
11,"[[ 22065 303090]
 [    33 174812]]","(array([0.        , 0.93214006, 1.        ]), array([0.        , 0.99981126, 1.        ]), array([2, 1, 0]))",0.999811261402957,0.15701090942403487,0.393754,0.3657904758716222,0.5338356025610531,20.939479734279256,0.5356194666540023,0.4189214902037094,svm,s-1-2-0,s-0-3-3
