,confusion_matrix,roc_curve,recall,mcc,accuracy,precision,auc,log_loss,f1_score,fbeta_score,model,train,valid
0,"[[     0 185997]
 [     0  64003]]","(array([0., 1.]), array([0., 1.]), array([2, 1]))",1.0,0.0,0.256012,0.256012,0.5,25.697030063389704,0.4076585255554883,0.3007651294216276,xgboost,s-1-2-0,s-0-1-0
1,"[[    0 38471]
 [    0 11529]]","(array([0., 1.]), array([0., 1.]), array([2, 1]))",1.0,0.0,0.23058,0.23058,0.5,26.57544056002692,0.37475011783061646,0.272515825253275,xgboost,s-1-2-0,s-0-1-1
2,"[[     0 186218]
 [     0  63782]]","(array([0., 1.]), array([0., 1.]), array([2, 1]))",1.0,0.0,0.255128,0.255128,0.5,25.727563048566935,0.40653702251881885,0.29978886651588393,xgboost,s-1-2-0,s-0-1-2
3,"[[     0 325155]
 [    39 174806]]","(array([0., 1., 1.]), array([0.        , 0.99977695, 1.        ]), array([2, 1, 0]))",0.9997769452944036,-0.012044335629083223,0.349612,0.3496392718632053,0.4998884726472018,22.464125688137994,0.5180926073567811,0.4019103421224828,xgboost,s-1-2-0,s-0-1-3
4,"[[     0 185894]
 [     0  64106]]","(array([0., 1.]), array([0., 1.]), array([2, 1]))",1.0,0.0,0.256424,0.256424,0.5,25.682799758080854,0.4081806778603401,0.301219991241474,xgboost,s-1-2-0,s-0-2-0
5,"[[    0 38555]
 [    0 11445]]","(array([0., 1.]), array([0., 1.]), array([2, 1]))",1.0,0.0,0.2289,0.2289,0.5,26.63346704769405,0.37252827732118154,0.2706377544988058,xgboost,s-1-2-0,s-0-2-1
6,"[[     0 185909]
 [     0  64091]]","(array([0., 1.]), array([0., 1.]), array([2, 1]))",1.0,0.0,0.256364,0.256364,0.5,25.6848721326404,0.40810465756739284,0.30115375470706923,xgboost,s-1-2-0,s-0-2-2
7,"[[     0 325155]
 [    39 174806]]","(array([0., 1., 1.]), array([0.        , 0.99977695, 1.        ]), array([2, 1, 0]))",0.9997769452944036,-0.012044335629083223,0.349612,0.3496392718632053,0.4998884726472018,22.464125688137997,0.5180926073567811,0.4019103421224828,xgboost,s-1-2-0,s-0-2-3
8,"[[    10 137846]
 [   141 112003]]","(array([0.        , 0.99992746, 1.        ]), array([0.        , 0.99874269, 1.        ]), array([2, 1, 0]))",0.9987426879726067,-0.023983279330894496,0.448052,0.44828276278872436,0.49940761371703685,19.064049438847604,0.6188130709709857,0.5038190258560196,xgboost,s-1-2-0,s-0-3-0
9,"[[    2 25389]
 [   38 24571]]","(array([0.        , 0.99992123, 1.        ]), array([0.        , 0.99845585, 1.        ]), array([2, 1, 0]))",0.9984558494859604,-0.025911744953400907,0.49146,0.4918134507606085,0.49926730877669295,17.564755367450985,0.6590137992999773,0.5473626525402208,xgboost,s-1-2-0,s-0-3-1
10,"[[    12 138015]
 [   127 111846]]","(array([0.        , 0.99991306, 1.        ]), array([0.       , 0.9988658, 1.       ]), array([2, 1, 0]))",0.9988657980048762,-0.022092130003126403,0.447432,0.4476328838834392,0.49947636875835544,19.08546402074032,0.6182171935196803,0.5031684777180842,xgboost,s-1-2-0,s-0-3-2
11,"[[     0 325155]
 [    39 174806]]","(array([0., 1., 1.]), array([0.        , 0.99977695, 1.        ]), array([2, 1, 0]))",0.9997769452944036,-0.012044335629083223,0.349612,0.3496392718632053,0.4998884726472018,22.464125688138004,0.5180926073567811,0.4019103421224828,xgboost,s-1-2-0,s-0-3-3
12,"[[     8 137809]
 [   121 112062]]","(array([0.        , 0.99994195, 1.        ]), array([0.        , 0.99892141, 1.        ]), array([2, 1, 0]))",0.9989214052039971,-0.022350902579118304,0.44828,0.44847941537833524,0.4994897265975869,19.05617447948915,0.6190347296259675,0.5040268353742622,xgboost,s-1-2-0,s-0-4-0
13,"[[    2 25342]
 [   17 24639]]","(array([0.        , 0.99992109, 1.        ]), array([0.        , 0.99931051, 1.        ]), array([2, 1, 0]))",0.9993105126541207,-0.01566236571969139,0.49282,0.4929673275844821,0.49969471339776744,17.517781879932322,0.6602355400136661,0.5485573069730163,xgboost,s-1-2-0,s-0-4-1
14,"[[    11 137802]
 [   123 112064]]","(array([0.        , 0.99992018, 1.        ]), array([0.        , 0.99890362, 1.        ]), array([2, 1, 0]))",0.9989036162835266,-0.021844681065946003,0.4483,0.44849639406722003,0.49949171729402037,19.05548368157252,0.619047487522545,0.5040430854647727,xgboost,s-1-2-0,s-0-4-2
15,"[[     0 325155]
 [    39 174806]]","(array([0., 1., 1.]), array([0.        , 0.99977695, 1.        ]), array([2, 1, 0]))",0.9997769452944036,-0.012044335629083223,0.349612,0.3496392718632053,0.4998884726472018,22.464125688138,0.5180926073567811,0.4019103421224828,xgboost,s-1-2-0,s-0-4-3
16,"[[   109   8704]
 [     1 241186]]","(array([0.        , 0.98763191, 1.        ]), array([0.        , 0.99999585, 1.        ]), array([2, 1, 0]))",0.9999958538395519,0.10872393605352114,0.96518,0.9651686742166553,0.5061819732150216,1.2026680328549204,0.9822736556588885,0.9719386788765156,xgboost,s-1-2-0,s-1-1-0
17,"[[   23  1313]
 [  393 48271]]","(array([0.        , 0.98278443, 1.        ]), array([0.        , 0.99192422, 1.        ]), array([2, 1, 0]))",0.9919242150254809,0.016226528350725328,0.96588,0.9735196837689577,0.5045698919438782,1.1784840480228702,0.982635778845371,0.9771457489878542,xgboost,s-1-2-0,s-1-1-1
18,"[[    12   8937]
 [     3 241048]]","(array([0.        , 0.99865907, 1.        ]), array([0.        , 0.99998755, 1.        ]), array([2, 1, 0]))",0.9999875545009147,0.03186370310736838,0.96424,0.9642498549912994,0.5006642432243091,1.2351352278909413,0.9817935955815866,0.9711915718969759,xgboost,s-1-2-0,s-1-1-2
19,"[[    38  70471]
 [     1 429490]]","(array([0.        , 0.99946106, 1.        ]), array([0.        , 0.99999767, 1.        ]), array([2, 1, 0]))",0.9999976716625029,0.02114743352423175,0.859056,0.859047005666442,0.5002683049770342,4.868145997065297,0.9241789785809272,0.883966188277862,xgboost,s-1-2-0,s-1-1-3
20,"[[  8336    577]
 [     9 241078]]","(array([0.       , 0.0647369, 1.       ]), array([0.        , 0.99996267, 1.        ]), array([2, 1, 0]))",0.9999626690779677,0.9653932339889715,0.997656,0.9976122985247564,0.9676128839611762,0.08096073734054056,0.9987861010643367,0.9980814883080086,xgboost,s-1-2-0,s-1-2-0
21,"[[  225  1160]
 [  411 48204]]","(array([0.        , 0.83754513, 1.        ]), array([0.        , 0.99154582, 1.        ]), array([2, 1, 0]))",0.9915458191916076,0.22552722533012853,0.96858,0.9765010939145936,0.5770003464189085,1.0852269049884748,0.9839659518876495,0.9794734040175398,xgboost,s-1-2-0,s-1-2-1
